mem_no	last_name	first_name	gd	birth_dt	entr_dt	grade	sign_up_ch
13065	김	시원	F	1993-08-09	2012-02-26	BRONZE	07
16593	유	정희	F	1993-12-30	2012-09-23	BRONZE	05
13751	김	성연	M	1994-01-27	2013-08-13	BRONZE	02
16621	유	조이	F	1994-03-03	2011-12-30	BRONZE	02
13800	김	지빈	F	1994-04-07	2013-10-04	BRONZE	05
12901	김	상윤	M	1994-05-12	2013-04-26	BRONZE	07
15247	이	유민	F	1994-06-16	2012-12-13	BRONZE	03
12356	김	하은	F	1994-07-21	2013-09-13	BRONZE	02
12904	김	효원	F	1994-08-25	2011-04-15	BRONZE	01
16181	최	종혁	M	1983-04-08	2011-03-09	VIP	03
16036	조	아리	F	1985-09-03	2013-03-22	VIP	03
16020	조	민	F	1994-05-13	2013-06-28	VIP	02
15106	이	지연	F	1971-10-12	2013-02-13	BRONZE	01
14618	이	래은	F	1977-02-12	2012-01-06	BRONZE	01
12750	김	주혁	M	1985-07-23	2012-10-01	BRONZE	01
12829	김	현빈	M	1985-10-17	2013-11-13	BRONZE	03
16385	윤	현희	F	1986-11-18	2011-03-21	BRONZE	02
17011	문	소린	F	1987-02-05	2012-09-01	BRONZE	02
13629	김	로희	F	1988-05-22	2012-03-26	BRONZE	02
13513	김	도헌	M	1988-12-18	2012-02-01	BRONZE	02
17763	손	가영	F	1990-04-22	2011-10-24	BRONZE	02
12535	김	성준	M	1991-01-18	2013-04-21	BRONZE	02
17015	유	종호	M	1992-05-22	2011-10-15	BRONZE	05
14119	김	건희	F	1993-07-08	2013-08-26	BRONZE	07
14089	김	규태	M	1994-01-28	2012-07-24	BRONZE	02
13268	김	선율	F	1994-01-30	2012-06-26	BRONZE	02
13192	김	준민	M	1994-03-04	2013-11-24	BRONZE	02
12769	김	세빈	F	1994-04-08	2012-09-15	BRONZE	07
17937	배	하음	F	1994-06-17	2012-12-08	BRONZE	04
17637	오	소민	F	1994-07-22	2011-05-28	BRONZE	02
15623	이	상우	M	1994-08-26	2013-12-08	BRONZE	02
15649	최	승희	F	1983-04-09	2011-05-29	VIP	03
16873	허	가경	F	1985-10-03	2012-08-02	VIP	01
17460	한	은서	F	1985-11-17	2013-05-30	VIP	01
16767	허	도하	F	1987-02-06	2013-05-04	VIP	02
15841	최	호연	M	1992-06-22	2011-06-17	VIP	06
15888	최	시영	M	1994-08-29	2013-07-10	VIP	03
16938	임	해주	F	1971-11-12	2013-10-29	BRONZE	01
12518	김	아윤	F	1977-03-12	2011-06-19	BRONZE	01
14233	김	준섭	M	1985-07-24	2013-02-20	BRONZE	01
15007	이	지후	M	1986-12-18	2013-09-17	BRONZE	02
12816	김	현호	M	1989-01-18	2011-12-02	BRONZE	02
13411	김	태인	F	1990-05-22	2012-12-01	BRONZE	03
13727	김	겸	M	1991-02-18	2011-09-21	BRONZE	02
17684	배	민성	M	1993-07-09	2013-04-04	BRONZE	02
17506	배	하린	F	1994-01-02	2013-08-16	BRONZE	06
13692	김	수영	M	1994-01-31	2013-12-26	BRONZE	04
17118	유	도언	M	1994-02-28	2012-07-07	BRONZE	05
15797	박	상준	M	1994-03-07	2012-08-20	BRONZE	02
12478	김	다현	F	1994-04-11	2011-08-24	BRONZE	02
13707	김	샛별	F	1994-05-16	2012-03-14	BRONZE	02
12531	김	채아	F	1994-06-20	2012-09-09	BRONZE	06
15025	이	도현	M	1994-07-25	2012-01-05	BRONZE	01
18827	조	재경	M	1982-10-20	2013-12-07	VIP	01
16164	조	보람	F	1987-02-07	2011-01-20	VIP	02
15587	최	연희	F	1991-03-18	2012-10-04	VIP	02
17058	조	승윤	F	1994-04-12	2013-02-26	VIP	03
14729	이	준아	F	1971-12-12	2011-07-24	BRONZE	03
15673	이	도준	M	1977-04-12	2013-06-25	BRONZE	01
18232	곽	재희	M	1983-04-10	2013-05-07	BRONZE	03
13479	김	동원	M	1985-07-25	2012-03-04	BRONZE	01
17988	송	다경	F	1985-11-03	2013-11-14	BRONZE	01
15743	박	요한	M	1985-12-17	2011-07-13	BRONZE	01
14001	김	예희	F	1987-01-18	2011-01-27	BRONZE	02
12623	김	유림	F	1989-02-18	2011-12-20	BRONZE	02
13960	김	이삭	M	1990-06-22	2012-05-25	BRONZE	05
15527	이	규빈	M	1992-05-24	2011-11-14	BRONZE	02
15376	이	도원	M	1992-07-22	2011-10-27	BRONZE	02
15423	이	건호	M	1993-07-10	2011-04-16	BRONZE	02
15019	이	준서	M	1994-01-03	2013-06-14	BRONZE	07
16483	유	인혜	F	1994-02-01	2011-12-25	BRONZE	06
16460	유	승혜	F	1994-03-08	2013-07-07	BRONZE	02
14309	김	여정	F	1994-03-30	2013-12-15	BRONZE	02
16594	유	선희	F	1994-05-17	2011-12-10	BRONZE	02
17923	곽	원준	M	1994-06-21	2012-04-20	BRONZE	07
16422	강	승리	M	1994-07-26	2012-01-31	BRONZE	02
14795	이	새나	F	1994-08-30	2011-08-10	BRONZE	04
15900	최	연후	M	1983-04-11	2011-09-01	VIP	03
17624	조	나은	F	1985-07-26	2013-10-04	VIP	01
16509	조	준표	M	1985-12-03	2013-01-08	VIP	01
15606	최	진아	F	1993-07-11	2011-11-19	VIP	02
15653	최	아림	F	1994-07-27	2012-07-14	VIP	03
18016	남	현진	F	1972-01-12	2012-11-07	BRONZE	03
18828	백	리안	M	1985-09-14	2013-12-09	BRONZE	03
17155	유	윤민	M	1986-01-17	2011-07-02	BRONZE	01
17282	임	해담	F	1987-02-08	2013-05-20	BRONZE	02
16855	윤	승완	M	1987-02-18	2011-04-11	BRONZE	02
18066	권	도율	M	1987-09-30	2012-08-22	BRONZE	02
15100	이	도연	F	1989-03-18	2011-07-17	BRONZE	01
14882	이	민서	F	1990-07-22	2012-04-17	BRONZE	07
16281	정	리안	M	1991-04-18	2012-06-20	BRONZE	02
14815	이	효영	F	1992-05-25	2011-02-21	BRONZE	02
14591	이	마리	F	1992-08-22	2013-10-21	BRONZE	02
14830	이	동은	M	1994-01-04	2013-06-07	BRONZE	03
17109	백	현이	F	1994-02-02	2011-11-17	BRONZE	01
17446	곽	지우	F	1994-03-09	2012-05-30	BRONZE	02
17115	유	하담	F	1994-04-13	2012-10-25	BRONZE	04
14503	이	채우	F	1994-04-30	2012-12-31	BRONZE	03
15368	이	현승	M	1994-05-18	2012-10-18	BRONZE	02
12558	김	아영	F	1994-06-22	2012-11-26	BRONZE	02
12770	김	도경	M	1994-08-31	2012-11-07	BRONZE	02
16500	조	이삭	M	1991-05-18	2012-01-30	VIP	02
16805	허	경서	F	1994-06-23	2011-12-04	VIP	02
15563	최	루아	F	1994-07-28	2013-02-18	VIP	04
14389	김	수예	F	1970-01-20	2011-10-14	BRONZE	03
14585	이	인경	F	1972-02-12	2011-10-17	BRONZE	03
18829	오	준서	F	1982-03-03	2012-02-08	BRONZE	01
16513	유	해온	F	1985-07-29	2011-09-05	BRONZE	01
13670	김	민유	F	1986-01-03	2012-01-12	BRONZE	01
17148	유	선유	M	1986-02-17	2012-12-19	BRONZE	03
14071	김	영서	M	1987-02-09	2011-02-14	BRONZE	02
14720	이	준이	F	1987-03-18	2011-08-02	BRONZE	02
17040	유	선웅	M	1987-10-31	2012-02-16	BRONZE	02
15363	박	연주	F	1989-04-18	2011-09-21	BRONZE	02
15243	이	하람	F	1990-08-22	2011-07-04	BRONZE	02
15035	이	현준	M	1992-05-26	2012-12-30	BRONZE	01
14130	김	연하	F	1992-09-22	2012-03-08	BRONZE	02
14326	김	채인	F	1993-07-12	2011-05-18	BRONZE	01
13680	김	한빈	M	1994-01-05	2013-09-22	BRONZE	04
14209	김	리한	M	1994-02-03	2012-05-14	BRONZE	04
15127	이	민찬	M	1994-03-10	2012-06-28	BRONZE	02
12406	김	유진	F	1994-04-14	2013-09-13	BRONZE	06
16466	유	경빈	F	1994-05-19	2011-08-29	BRONZE	07
17315	안	보리	F	1994-05-30	2013-03-27	BRONZE	02
13647	김	예음	F	1994-09-01	2011-10-22	BRONZE	02
16268	정	하루	M	1994-01-06	2012-06-25	VVIP	01
16133	최	강	M	1972-03-12	2013-06-21	VIP	03
16769	허	혜서	F	1992-05-27	2012-05-20	VIP	01
16761	허	진하	F	1993-07-13	2011-03-03	VIP	02
16103	조	혜영	F	1994-02-04	2012-12-05	VIP	05
17655	전	도연	F	1970-01-21	2011-04-12	BRONZE	03
17053	유	이레	M	1985-07-30	2011-06-02	BRONZE	01
15953	강	예윤	F	1986-02-03	2013-04-01	BRONZE	03
13897	김	승수	M	1986-03-17	2012-02-14	BRONZE	03
13153	김	은영	F	1987-02-10	2011-01-09	BRONZE	02
13886	김	미래	F	1987-04-18	2013-10-16	BRONZE	02
13882	김	유환	M	1987-11-30	2012-04-13	BRONZE	02
12441	김	수현	M	1989-05-18	2013-03-21	BRONZE	02
14975	이	주아	F	1990-09-22	2011-06-04	BRONZE	05
15253	이	성빈	M	1991-06-18	2011-03-29	BRONZE	02
14653	이	희지	F	1992-10-22	2013-10-04	BRONZE	03
17667	문	세아	F	1994-03-11	2011-02-09	BRONZE	01
15256	이	은우	F	1994-04-15	2013-12-20	BRONZE	07
13122	김	다민	F	1994-05-20	2013-03-01	BRONZE	01
17978	임	서율	M	1994-06-24	2012-08-31	BRONZE	02
15313	이	지오	M	1994-06-30	2011-01-20	BRONZE	02
13404	김	상원	M	1994-07-29	2011-11-15	BRONZE	05
17272	임	희나	F	1994-09-02	2011-04-23	BRONZE	02
18830	서	미정	F	1995-02-22	2012-10-25	BRONZE	03
17946	허	은빈	F	1972-04-12	2012-12-12	VIP	03
16505	조	정인	M	1986-03-03	2013-12-27	VIP	03
16091	조	재연	F	1986-04-17	2013-05-05	VIP	07
18114	하	은설	F	1987-02-11	2011-09-29	VIP	02
16101	조	세하	F	1987-12-31	2012-12-09	VIP	03
16146	최	재욱	M	1994-06-27	2011-09-29	VIP	02
16112	조	나라	F	1994-07-30	2013-11-30	VIP	06
15749	박	태건	M	1970-01-22	2012-10-23	BRONZE	03
15118	이	은찬	M	1985-07-31	2012-10-26	BRONZE	01
13448	김	주하	M	1987-05-18	2013-02-10	BRONZE	02
14390	김	서림	F	1989-06-18	2013-11-18	BRONZE	02
12556	김	준	M	1990-10-22	2012-12-02	BRONZE	02
13557	김	린아	F	1991-07-18	2013-08-04	BRONZE	02
18831	신	주안	F	1992-04-18	2013-09-21	BRONZE	07
14666	김	윤환	M	1992-05-28	2012-09-02	BRONZE	06
15099	이	하영	F	1992-11-22	2013-02-27	BRONZE	04
16326	정	대한	M	1993-07-14	2012-01-01	BRONZE	05
14367	김	단	F	1994-01-07	2013-06-18	BRONZE	06
14698	이	세호	M	1994-02-07	2012-03-17	BRONZE	02
17728	임	윤호	M	1994-03-14	2012-01-26	BRONZE	02
14772	이	태서	M	1994-04-18	2012-08-13	BRONZE	02
17553	권	하연	F	1994-05-23	2013-07-29	BRONZE	02
12373	김	건우	M	1994-08-01	2013-10-11	BRONZE	01
16445	강	명진	M	1994-09-05	2013-10-04	BRONZE	02
16374	정	정혁	M	1990-11-22	2013-02-23	VVIP	01
16376	정	준오	M	1994-04-19	2013-08-26	VVIP	01
17402	허	영주	M	1985-05-18	2013-06-30	VIP	03
17368	하	도예	F	1994-06-28	2013-01-15	VIP	02
16495	유	수미	F	1972-05-12	2013-05-27	BRONZE	01
14082	김	유연	F	1985-08-01	2012-09-13	BRONZE	01
13165	김	민선	F	1986-04-03	2013-04-07	BRONZE	03
15027	이	건우	M	1986-05-17	2011-05-06	BRONZE	04
17410	안	수화	F	1987-02-12	2011-06-01	BRONZE	02
16837	윤	선민	M	1987-06-18	2011-10-15	BRONZE	02
14351	김	선빈	M	1988-01-31	2011-04-11	BRONZE	02
12673	김	수정	F	1989-07-18	2011-07-16	BRONZE	05
13514	김	준모	M	1991-08-18	2013-12-03	BRONZE	02
13008	김	이현	F	1992-12-22	2013-05-24	BRONZE	01
15498	이	윤후	M	1993-07-15	2013-07-02	BRONZE	07
16611	유	선	F	1994-01-08	2012-12-21	BRONZE	07
12367	김	지훈	M	1994-02-08	2011-09-17	BRONZE	01
15608	이	은율	M	1994-03-15	2013-02-20	BRONZE	03
14385	김	봄이	F	1994-05-24	2013-10-01	BRONZE	03
15826	박	진영	M	1994-08-02	2012-01-21	BRONZE	02
12449	김	하율	F	1994-08-30	2012-01-04	BRONZE	06
16416	강	태헌	M	1994-09-06	2013-10-24	BRONZE	02
16801	허	솔민	F	1994-01-09	2011-12-28	VIP	02
17629	장	아윤	F	1972-06-12	2013-07-20	BRONZE	01
12802	김	이현	M	1985-06-18	2013-09-23	BRONZE	01
14541	이	규미	F	1985-08-02	2011-08-03	BRONZE	01
13099	김	시율	F	1986-05-03	2011-11-30	BRONZE	06
12743	김	다영	F	1986-06-17	2013-03-07	BRONZE	06
13844	김	윤선	F	1987-02-13	2012-01-23	BRONZE	02
17919	전	아연	F	1987-07-18	2013-08-07	BRONZE	02
16493	유	제니	F	1988-02-29	2012-02-19	BRONZE	02
13523	김	우재	M	1989-08-18	2012-08-21	BRONZE	01
12374	김	은서	F	1990-12-22	2012-10-30	BRONZE	02
14538	김	민상	M	1991-09-18	2011-12-01	BRONZE	02
13705	김	성환	M	1993-01-22	2012-11-27	BRONZE	02
17251	임	레나	F	1993-07-16	2012-02-22	BRONZE	01
13856	김	은선	F	1994-02-09	2012-03-21	BRONZE	05
16450	유	소빈	F	1994-03-16	2013-10-28	BRONZE	04
15083	이	민아	F	1994-04-20	2012-04-04	BRONZE	02
14968	이	장현	M	1994-05-25	2012-10-01	BRONZE	04
14732	이	보리	F	1994-06-29	2011-05-03	BRONZE	02
17774	손	민혁	M	1994-08-03	2013-12-28	BRONZE	03
14865	이	초윤	F	1994-09-07	2011-03-28	BRONZE	02
18268	남	규림	F	1994-09-30	2011-03-24	BRONZE	06
18832	허	선준	M	1989-01-02	2013-05-08	VIP	03
15520	최	세영	F	1991-10-18	2012-02-24	VIP	02
18104	허	가을	F	1992-05-29	2012-02-01	VIP	01
15777	최	유안	F	1994-01-10	2011-06-13	VIP	02
15298	이	현성	M	1972-07-12	2013-12-27	BRONZE	01
15727	이	태성	M	1985-07-18	2013-08-29	BRONZE	03
15973	강	진희	F	1985-08-05	2012-12-04	BRONZE	01
14482	이	연호	F	1986-06-03	2013-04-03	BRONZE	06
17425	손	효우	F	1986-07-17	2011-01-16	BRONZE	02
17979	임	시완	M	1987-02-14	2012-05-21	BRONZE	02
14913	이	채율	M	1987-08-18	2013-05-17	BRONZE	02
12917	김	진호	M	1988-03-31	2012-02-22	BRONZE	02
16623	유	소을	F	1989-09-18	2012-07-09	BRONZE	03
15104	이	태윤	M	1991-01-22	2011-12-28	BRONZE	02
17950	노	다원	F	1993-02-22	2013-02-03	BRONZE	06
14288	김	리현	F	1993-07-17	2011-07-03	BRONZE	04
13098	김	하정	F	1994-02-10	2012-07-29	BRONZE	01
12423	김	유나	F	1994-03-17	2011-07-19	BRONZE	06
15110	이	재원	M	1994-04-21	2012-01-07	BRONZE	02
13754	김	세정	F	1994-05-26	2013-07-01	BRONZE	06
14946	이	시은	F	1994-06-30	2012-01-09	BRONZE	01
12589	김	승원	M	1994-08-04	2011-09-18	BRONZE	06
13954	김	려은	F	1994-09-08	2013-08-25	BRONZE	02
14898	이	지윤	F	1994-10-30	2012-11-19	BRONZE	01
15478	최	은수	F	1986-08-17	2012-07-12	VIP	03
17510	허	윤아	F	1987-02-15	2012-09-11	VIP	02
15502	최	아름	F	1991-11-18	2013-09-05	VIP	02
14684	김	기원	M	1972-08-12	2012-06-22	BRONZE	01
16912	임	연제	F	1985-08-06	2012-08-07	BRONZE	01
14040	김	새론	F	1985-08-18	2012-10-07	BRONZE	01
18833	권	해민	F	1986-03-22	2012-09-16	BRONZE	03
15274	이	채영	F	1986-07-03	2011-03-15	BRONZE	02
13295	김	라은	F	1987-09-18	2012-02-02	BRONZE	02
18277	송	로운	M	1988-04-30	2011-09-08	BRONZE	02
17962	우	세인	F	1989-10-18	2011-07-24	BRONZE	02
17561	전	시아	F	1991-02-22	2012-06-18	BRONZE	02
13590	김	기쁨	F	1992-05-30	2011-02-04	BRONZE	04
12999	김	상우	M	1993-03-22	2013-02-14	BRONZE	02
17885	우	단아	F	1993-07-18	2012-09-18	BRONZE	06
15786	박	아인	M	1994-01-11	2013-07-26	BRONZE	02
13929	김	희	F	1994-02-11	2012-12-10	BRONZE	04
16337	윤	은교	F	1994-03-18	2011-12-06	BRONZE	07
18001	임	태영	M	1994-04-22	2012-04-22	BRONZE	02
17548	오	서은	F	1994-05-27	2013-03-11	BRONZE	07
15163	이	우빈	M	1994-07-01	2012-04-06	BRONZE	02
14466	이	승리	F	1994-08-05	2012-06-04	BRONZE	07
12434	김	시후	M	1994-09-09	2012-06-21	BRONZE	02
13824	김	선하	F	1994-11-30	2012-04-06	BRONZE	05
17415	홍	나령	F	1985-08-07	2011-03-08	VIP	01
16770	허	수림	F	1989-11-18	2013-03-21	VIP	03
15442	최	재희	F	1992-05-31	2013-04-03	VIP	01
16185	조	성아	F	1994-04-25	2012-12-22	VIP	02
12375	김	우진	M	1972-09-12	2011-02-20	BRONZE	01
18834	유	은석	M	1983-08-31	2012-07-03	BRONZE	03
12662	김	유민	F	1985-09-18	2011-01-31	BRONZE	03
14422	김	범석	M	1986-08-03	2012-03-15	BRONZE	02
12505	김	사랑	F	1986-09-17	2011-12-14	BRONZE	02
14205	김	영호	M	1987-02-16	2011-10-04	BRONZE	02
13565	김	재욱	M	1987-10-18	2013-11-02	BRONZE	02
13570	김	준환	M	1988-05-31	2013-08-02	BRONZE	02
12821	김	태우	M	1991-03-22	2012-06-27	BRONZE	02
13366	김	민진	F	1991-12-18	2011-06-09	BRONZE	02
18191	유	윤후	M	1993-04-22	2013-08-01	BRONZE	07
13941	김	선미	F	1993-07-19	2012-10-22	BRONZE	02
17811	오	윤슬	F	1994-01-12	2011-03-30	BRONZE	02
17886	문	강민	M	1994-02-14	2012-04-16	BRONZE	02
14237	김	해진	F	1994-03-21	2012-10-11	BRONZE	01
15609	이	서원	M	1994-05-30	2012-10-10	BRONZE	02
14102	김	제이	M	1994-07-04	2013-02-28	BRONZE	05
12580	김	시윤	F	1994-08-08	2011-09-09	BRONZE	02
15910	정	빛나	F	1994-09-12	2012-02-19	BRONZE	03
16813	윤	정운	M	1994-12-30	2011-05-08	BRONZE	07
18835	황	선혜	F	1984-05-31	2012-11-17	VIP	03
16535	조	동희	M	1987-02-17	2013-03-09	VIP	02
15574	최	가을	F	1989-12-18	2011-06-10	VIP	03
17693	허	진우	M	1994-04-26	2011-05-11	VIP	02
13672	김	한결	F	1972-10-12	2013-02-02	BRONZE	03
13887	김	원석	M	1985-08-08	2012-02-10	BRONZE	01
17896	오	세빈	F	1985-10-18	2011-06-10	BRONZE	03
14341	김	세빈	M	1986-09-03	2012-04-28	BRONZE	02
15492	이	형준	M	1986-10-17	2013-10-13	BRONZE	02
13697	김	은희	F	1987-11-18	2011-03-14	BRONZE	02
13812	김	채훈	M	1988-06-30	2012-07-31	BRONZE	02
15370	이	승훈	M	1991-04-22	2012-10-01	BRONZE	02
14075	김	혜준	M	1992-01-18	2013-06-07	BRONZE	02
14582	이	새롬	F	1992-06-01	2012-09-19	BRONZE	02
15182	이	이안	M	1993-05-22	2013-12-14	BRONZE	02
12512	김	은채	F	1993-07-20	2012-06-17	BRONZE	02
15095	이	재윤	M	1994-01-13	2012-12-16	BRONZE	02
12722	김	태린	F	1994-02-15	2011-02-27	BRONZE	02
15075	이	준영	M	1994-03-22	2011-01-06	BRONZE	02
18224	권	은아	F	1994-05-31	2011-09-09	BRONZE	02
17125	유	대훈	M	1994-07-05	2013-05-24	BRONZE	06
13978	김	다엘	F	1994-08-09	2011-06-05	BRONZE	02
14985	이	시우	M	1994-09-13	2012-07-19	BRONZE	04
15308	이	태린	F	1995-01-30	2011-11-12	BRONZE	02
16696	조	진후	M	1987-12-18	2011-06-05	VIP	03
16833	허	주리	F	1989-04-22	2013-09-20	VIP	03
17723	조	은찬	M	1993-07-21	2013-09-25	VIP	02
17905	허	주호	M	1994-01-14	2011-03-13	VIP	02
16024	조	예현	F	1994-03-23	2013-08-28	VIP	03
17884	주	리아	F	1994-07-06	2012-05-16	VIP	07
17386	허	신후	M	1994-08-10	2013-11-10	VIP	02
16479	조	예훈	M	1994-09-14	2011-10-13	VIP	05
14223	김	수인	M	1972-11-12	2013-09-15	BRONZE	03
16709	유	건희	F	1985-08-09	2011-12-16	BRONZE	01
17426	배	예본	F	1985-11-18	2013-04-15	BRONZE	01
15181	이	지민	M	1986-10-03	2011-05-20	BRONZE	02
13176	김	새봄	F	1987-02-18	2011-12-21	BRONZE	02
15044	이	유준	M	1988-07-31	2011-10-28	BRONZE	02
13040	김	가희	F	1990-01-18	2013-10-05	BRONZE	07
13845	김	영빈	M	1991-05-22	2013-08-19	BRONZE	02
14165	김	대원	M	1992-02-18	2011-09-10	BRONZE	06
17135	성	하얀	F	1992-06-02	2013-03-25	BRONZE	02
16463	유	희재	F	1993-06-22	2013-09-16	BRONZE	02
18836	안	려은	F	1993-11-22	2012-07-09	BRONZE	07
17783	백	우빈	M	1994-02-16	2011-12-05	BRONZE	02
14357	김	채언	F	1994-04-27	2012-03-13	BRONZE	02
15529	이	시헌	M	1994-06-01	2012-08-31	BRONZE	02
13418	김	민후	M	1995-02-28	2012-08-12	BRONZE	05
17385	허	대연	M	1988-01-18	2013-01-11	VIP	03
15975	최	해준	M	1990-02-18	2012-01-28	VIP	05
18222	허	동우	M	1992-03-18	2012-04-10	VIP	07
16186	조	초은	F	1993-07-22	2011-02-09	VIP	02
15898	최	희성	M	1994-03-24	2012-02-03	VIP	04
15526	이	수혁	M	1972-12-12	2012-03-12	BRONZE	03
15002	이	하준	M	1983-03-28	2012-03-02	BRONZE	01
18126	곽	찬희	M	1985-08-12	2012-09-09	BRONZE	01
14735	이	민권	M	1985-12-18	2012-06-01	BRONZE	01
14560	김	해인	M	1986-11-03	2013-06-13	BRONZE	02
12867	김	혜민	F	1987-02-19	2011-06-29	BRONZE	02
12893	김	규빈	M	1988-08-31	2011-04-01	BRONZE	02
14702	이	다유	F	1989-05-22	2013-07-10	BRONZE	02
16451	유	혜선	F	1991-06-22	2011-06-11	BRONZE	02
12824	김	정연	F	1993-07-22	2012-08-03	BRONZE	04
16996	안	규희	F	1994-01-15	2013-10-19	BRONZE	02
12426	김	수연	F	1994-02-17	2012-12-03	BRONZE	02
15223	이	유하	F	1994-04-28	2013-08-19	BRONZE	01
12350	김	서윤	F	1994-06-02	2011-04-29	BRONZE	02
13644	김	리우	F	1994-07-07	2012-09-21	BRONZE	01
18225	남	주한	M	1994-08-11	2011-04-01	BRONZE	02
13993	김	경호	M	1995-03-30	2011-03-31	BRONZE	02
16104	조	유담	F	1973-01-12	2011-06-26	VIP	03
16117	조	시유	F	1988-02-18	2012-02-10	VIP	03
16218	최	한빈	M	1993-07-23	2011-05-14	VIP	05
17429	허	태강	M	1994-08-12	2011-11-19	VIP	02
12997	김	진서	F	1983-03-29	2011-02-14	BRONZE	01
16746	윤	예승	M	1985-08-13	2013-02-28	BRONZE	01
17412	전	은빛	F	1986-01-18	2013-06-12	BRONZE	01
18013	임	호준	M	1986-12-03	2013-06-24	BRONZE	02
15109	이	가윤	F	1987-02-20	2012-08-02	BRONZE	02
17371	성	린하	F	1988-09-30	2012-07-24	BRONZE	02
13959	김	루하	F	1989-06-22	2012-09-17	BRONZE	02
14937	이	대희	M	1990-03-18	2013-11-04	BRONZE	02
15554	이	우영	M	1991-07-22	2011-10-11	BRONZE	02
12847	김	윤후	M	1992-04-18	2013-02-05	BRONZE	01
15041	이	연우	M	1993-08-22	2013-05-19	BRONZE	04
14432	김	성수	M	1994-01-16	2011-02-07	BRONZE	02
12583	김	다온	F	1994-02-18	2012-01-20	BRONZE	05
12578	김	준희	M	1994-03-25	2012-10-26	BRONZE	06
13694	김	태욱	M	1994-04-29	2011-12-09	BRONZE	02
17193	유	서훈	M	1994-06-03	2011-06-01	BRONZE	02
15889	정	유현	F	1994-07-08	2011-05-05	BRONZE	02
13151	김	희찬	M	1995-04-30	2011-04-16	BRONZE	02
17107	조	하니	F	1987-02-21	2012-12-14	VIP	02
15500	최	민영	F	1988-03-18	2011-06-16	VIP	03
15852	최	주성	M	1994-08-15	2011-01-23	VIP	02
12581	김	보민	F	1973-02-12	2012-10-28	BRONZE	03
18837	남	재연	M	1982-12-14	2013-07-06	BRONZE	01
15210	이	은성	M	1983-03-30	2013-02-06	BRONZE	01
14869	이	용하	M	1985-08-14	2012-12-11	BRONZE	01
12601	김	정현	M	1986-02-18	2013-02-12	BRONZE	03
12427	김	연우	F	1987-01-03	2011-07-25	BRONZE	02
15433	이	지혁	M	1988-10-31	2013-09-23	BRONZE	02
15355	이	현진	M	1989-07-22	2012-10-02	BRONZE	01
13236	김	유안	M	1990-04-18	2013-05-10	BRONZE	01
13045	김	효빈	F	1991-08-22	2013-07-10	BRONZE	02
12509	김	서하	F	1992-05-18	2012-10-19	BRONZE	05
15511	이	효준	M	1992-06-03	2013-11-09	BRONZE	02
14770	이	도혜	F	1993-07-24	2012-06-10	BRONZE	06
13431	김	기범	M	1993-09-22	2012-01-17	BRONZE	01
14825	이	은빛	F	1994-01-17	2012-03-27	BRONZE	02
17347	백	한희	F	1994-02-21	2011-05-13	BRONZE	06
13292	김	지나	F	1994-03-28	2011-01-21	BRONZE	07
13186	김	도윤	F	1994-05-02	2012-06-12	BRONZE	04
15033	이	아린	F	1994-06-06	2013-08-16	BRONZE	01
13576	김	시언	F	1994-07-11	2013-08-20	BRONZE	03
13419	김	아리	F	1995-05-30	2013-12-23	BRONZE	03
17139	주	준영	F	1985-08-15	2012-11-29	VIP	01
16484	조	채우	M	1994-01-18	2012-05-01	VIP	02
17601	임	도윤	M	1973-03-12	2013-08-18	BRONZE	01
12646	김	주환	M	1983-03-31	2013-08-11	BRONZE	01
18838	송	혜수	F	1984-02-03	2013-03-04	BRONZE	03
13673	김	유신	M	1986-03-18	2013-01-07	BRONZE	03
13869	김	인혜	F	1987-02-03	2012-01-30	BRONZE	02
13449	김	준휘	M	1987-02-22	2013-05-10	BRONZE	02
13137	김	규린	F	1988-04-18	2011-12-26	BRONZE	02
13267	김	은정	F	1988-11-30	2013-03-13	BRONZE	01
18138	임	진아	F	1989-08-22	2013-03-03	BRONZE	02
16318	윤	하림	F	1990-05-18	2011-07-16	BRONZE	02
17511	유	민지	F	1991-09-22	2012-01-31	BRONZE	02
14513	이	아원	F	1992-06-04	2011-06-26	BRONZE	02
13756	김	지유	M	1992-06-18	2013-06-29	BRONZE	01
12528	김	하율	M	1993-07-25	2011-08-01	BRONZE	01
12945	김	규현	M	1993-10-22	2012-10-16	BRONZE	02
15435	이	이현	M	1994-02-22	2012-05-19	BRONZE	07
14479	이	미영	F	1994-03-29	2012-05-27	BRONZE	02
13571	김	로이	M	1994-05-03	2011-04-27	BRONZE	06
12890	김	소미	F	1994-06-07	2013-12-20	BRONZE	03
16272	윤	설하	F	1994-07-12	2011-12-12	BRONZE	04
12738	김	재이	F	1994-08-16	2013-08-20	BRONZE	02
13260	김	예리	F	1995-06-30	2012-09-06	BRONZE	05
17211	정	초이	F	1987-03-03	2011-08-19	VVIP	01
16617	조	세인	M	1991-10-22	2011-02-21	VIP	02
15755	최	세현	F	1994-05-04	2012-02-14	VIP	07
16773	허	설현	F	1994-06-08	2011-12-21	VIP	04
12620	김	민서	M	1973-04-12	2011-02-15	BRONZE	01
18839	심	정욱	M	1974-02-07	2013-11-28	BRONZE	03
15659	이	종현	M	1983-04-01	2012-05-03	BRONZE	03
14701	이	병현	M	1985-08-16	2011-10-21	BRONZE	01
